study_hours,attendance_percent,previous_score,assignment_score,sleep_hours,internet_hours,extracurricular_activities,final_score,performance
7.1,90.27,64.17,61.8,6.21,2.61,3,93.27,High
2.1,74.73,50.61,91.91,4.78,2.19,1,54.11,Low
5.56,76.43,60.12,53.46,4.52,5.5,3,66.96,Medium
7.25,99.76,80.47,86.21,9.0,7.8,0,93.66,High
6.23,85.36,84.6,59.88,6.28,2.73,3,83.05,High
2.8,91.66,68.67,98.7,8.36,2.75,2,71.98,Medium
8.24,95.61,58.12,92.43,6.41,1.98,1,84.38,High
7.44,90.44,51.24,54.59,8.61,7.02,3,78.37,High
7.65,63.33,66.32,85.06,4.44,2.58,3,73.79,Medium
2.18,80.3,53.88,56.9,4.57,4.52,2,45.72,Low
2.11,59.59,68.85,74.41,8.65,7.94,0,50.46,Low
9.35,84.38,75.6,77.8,8.74,1.08,0,93.06,High
4.58,97.99,38.96,88.92,5.57,4.9,4,74.64,High
3.71,78.07,35.06,36.59,5.78,4.59,1,57.13,Low
5.4,74.48,47.74,49.31,6.26,6.65,1,58.53,Low
6.97,56.61,88.67,81.27,6.08,3.49,3,78.81,High
9.6,98.19,73.78,71.63,4.95,3.87,1,86.74,High
3.58,59.64,45.32,67.21,8.49,2.18,1,56.72,Low
9.32,56.85,88.42,38.59,5.27,6.19,3,83.3,High
1.22,66.07,63.2,57.64,7.53,6.49,2,54.5,Low
6.0,57.95,63.57,91.23,4.34,1.96,3,67.88,Medium
6.71,75.48,91.13,37.01,4.19,3.75,0,81.25,High
1.95,78.22,38.57,60.77,7.27,7.25,2,43.4,Low
2.26,69.07,47.91,96.43,5.7,1.02,2,52.67,Low
4.77,57.29,70.15,38.31,7.28,3.09,3,67.61,Medium
9.7,60.02,46.73,83.73,4.47,4.89,0,86.93,High
6.36,72.3,75.77,51.74,8.75,3.34,0,80.32,High
9.4,57.72,47.85,91.33,7.74,2.9,3,84.66,High
8.24,86.42,40.95,83.49,8.38,4.22,3,75.12,High
5.21,64.32,47.42,92.57,4.68,2.27,4,57.35,Low
8.06,68.59,60.36,49.04,5.6,4.71,1,76.1,High
1.16,72.74,45.57,69.53,5.84,5.95,4,47.29,Low
1.98,73.75,43.08,85.65,6.69,5.03,1,48.78,Low
8.46,55.07,86.62,50.97,5.48,1.65,3,82.64,High
8.17,60.04,54.22,50.0,4.3,6.91,0,68.84,Medium
3.09,93.82,56.65,36.77,5.84,2.22,4,69.35,Medium
5.78,55.06,38.32,97.3,5.27,6.35,1,62.16,Medium
6.45,77.87,56.44,81.15,5.93,3.52,4,83.77,High
8.81,77.03,50.89,76.31,4.98,6.48,1,80.04,High
6.43,69.99,71.63,83.36,5.31,2.44,3,77.81,High
4.71,74.41,47.32,69.55,7.13,2.31,2,72.97,Medium
4.37,90.13,88.3,65.95,5.94,4.48,0,70.5,Medium
4.83,92.85,90.78,64.22,5.73,1.23,0,94.83,High
6.87,66.72,40.99,76.63,6.67,2.58,3,75.02,High
8.81,69.51,41.44,48.1,7.86,6.07,0,77.45,High
5.09,65.91,41.92,92.72,5.89,6.86,1,65.17,Medium
3.23,76.59,72.17,87.76,6.94,1.57,2,79.77,High
3.13,85.75,42.32,57.72,8.83,7.17,1,63.8,Medium
7.71,65.27,86.14,72.61,6.61,6.58,0,72.74,Medium
8.35,69.88,80.26,44.17,8.55,7.09,3,90.42,High
1.95,96.87,84.19,98.2,7.97,5.89,3,71.8,Medium
1.6,57.19,66.56,93.69,4.29,5.72,3,52.05,Low
6.35,75.73,94.8,94.92,6.15,4.68,4,79.6,High
2.32,87.02,37.65,56.59,7.49,5.57,0,57.61,Low
8.42,61.77,59.08,45.99,8.93,7.43,2,73.25,Medium
3.79,57.13,54.44,48.77,6.29,1.7,1,57.33,Low
2.29,61.22,91.92,40.85,4.46,3.21,4,56.04,Low
9.29,96.35,69.61,42.81,6.81,1.51,2,100.0,High
2.49,55.42,83.37,39.63,4.63,7.61,0,59.06,Medium
3.56,63.47,45.22,99.34,7.76,4.12,3,62.91,Medium
2.38,56.41,93.72,39.81,6.54,5.73,0,55.43,Low
2.04,59.98,64.92,43.62,7.62,6.89,1,47.93,Low
1.19,82.91,64.62,88.77,8.35,7.94,3,65.2,Medium
1.5,65.87,93.25,72.72,7.14,2.13,2,61.22,Medium
2.57,80.61,57.84,85.34,7.06,6.6,3,60.03,Medium
1.48,81.56,58.85,76.01,7.77,7.21,2,61.91,Medium
6.32,93.22,70.09,92.34,8.21,1.34,4,87.84,High
7.13,55.21,42.68,76.5,8.35,6.28,2,69.44,Medium
4.54,93.4,54.27,68.94,4.18,3.48,0,60.73,Medium
3.86,82.86,46.59,81.33,6.78,5.54,0,67.54,Medium
5.54,62.32,41.2,64.08,5.08,4.6,3,71.24,Medium
8.88,89.78,86.97,57.49,8.3,2.82,0,99.78,High
8.66,93.5,70.36,65.4,7.24,1.95,1,100.0,High
1.39,66.44,56.52,46.03,6.1,1.82,0,45.09,Low
2.63,96.35,59.52,86.78,4.94,1.72,1,69.18,Medium
3.13,75.45,60.89,51.95,5.7,5.46,2,53.53,Low
3.24,82.15,72.99,44.98,7.52,3.46,0,64.2,Medium
6.14,99.31,90.61,51.01,5.02,2.52,2,89.29,High
4.75,71.27,90.97,89.73,4.47,5.84,4,74.34,High
1.44,91.59,58.49,56.46,8.44,5.81,0,51.31,Low
4.36,69.33,54.76,79.59,7.82,4.77,0,58.84,Low
5.71,90.96,62.06,90.67,5.0,7.54,1,68.24,Medium
1.92,82.03,69.08,40.05,5.46,3.7,4,60.33,Medium
8.5,64.74,62.71,84.73,8.86,6.85,2,93.86,High
1.47,73.63,74.53,55.0,7.54,1.53,3,67.1,Medium
9.32,69.29,68.26,49.08,7.05,6.18,0,73.03,Medium
1.89,58.51,54.24,79.78,5.54,7.92,3,55.55,Low
8.59,56.34,55.74,94.14,5.5,6.93,0,80.57,High
9.12,70.59,57.72,54.18,4.2,5.06,3,71.64,Medium
9.82,55.86,40.68,71.97,7.64,5.39,0,76.95,High
8.22,62.45,44.96,53.84,4.22,3.47,4,77.72,High
8.02,87.63,78.39,71.03,4.02,5.76,1,87.6,High
6.78,86.86,58.35,75.42,7.65,6.39,0,72.59,Medium
8.01,88.24,47.87,74.67,8.74,7.99,1,85.66,High
2.21,69.27,68.76,75.53,7.78,4.45,0,48.91,Low
5.82,95.05,80.33,43.78,6.36,1.43,0,80.11,High
5.63,81.72,50.45,80.08,6.43,5.17,2,78.01,High
8.72,60.67,84.61,78.86,6.18,1.83,1,87.69,High
5.17,61.47,90.65,79.37,5.62,2.71,1,71.15,Medium
4.47,86.19,70.84,39.81,6.61,3.3,4,75.82,High
6.76,62.78,75.14,64.04,6.16,6.12,0,77.44,High
3.4,77.83,38.15,61.59,6.99,2.29,1,66.34,Medium
2.26,99.63,91.73,40.64,8.49,2.16,0,76.81,High
5.3,55.18,58.55,49.45,8.98,1.31,2,72.7,Medium
4.75,55.75,90.43,63.66,4.39,7.11,1,67.01,Medium
3.09,99.69,69.74,83.29,5.92,5.85,0,71.37,Medium
4.31,81.31,35.28,50.41,4.9,1.28,0,60.74,Medium
4.3,60.71,37.31,88.93,5.76,1.2,4,61.05,Medium
3.95,95.38,75.83,70.48,5.44,4.91,0,66.08,Medium
4.42,94.62,68.76,84.43,4.87,2.98,3,71.49,Medium
7.17,79.13,36.59,65.72,7.82,5.18,4,74.19,High
3.67,82.98,79.61,67.45,6.48,4.04,2,71.94,Medium
9.54,67.29,86.13,75.28,8.6,7.46,1,98.38,High
9.25,57.27,64.79,95.32,4.16,3.01,3,83.74,High
5.33,81.76,62.95,66.97,4.33,5.75,4,75.34,High
3.96,68.26,35.33,69.36,6.02,1.38,0,63.91,Medium
5.82,84.86,82.2,74.13,4.4,7.69,4,75.69,High
8.64,92.63,54.84,82.94,5.31,7.87,4,89.41,High
6.87,55.82,87.73,39.67,8.93,6.17,0,72.86,Medium
8.24,81.81,57.38,68.52,5.04,4.26,0,87.61,High
5.79,65.41,68.9,66.3,4.99,2.54,3,74.55,High
6.7,94.32,51.22,94.91,6.87,6.69,0,74.68,High
3.59,66.41,44.64,67.08,6.49,6.15,3,57.34,Low
7.61,82.48,81.49,65.44,6.9,2.55,0,95.46,High
2.82,79.91,64.8,97.54,5.88,4.16,3,65.55,Medium
7.25,72.83,67.19,64.29,8.13,4.24,1,82.46,High
8.75,85.49,92.92,46.76,4.69,6.78,0,89.62,High
2.19,87.66,92.81,49.1,6.14,5.79,0,58.92,Low
6.53,80.51,86.34,41.19,7.45,5.5,0,81.3,High
1.86,89.13,46.26,35.04,8.34,5.55,2,48.14,Low
7.53,99.25,70.66,63.08,5.85,2.89,0,84.59,High
1.76,73.87,87.69,85.0,6.84,3.6,4,71.4,Medium
9.42,78.16,57.47,82.68,4.35,1.32,3,91.15,High
2.24,55.56,41.07,37.09,4.85,6.51,1,38.69,Low
9.63,90.82,83.66,72.05,4.35,4.03,4,99.04,High
8.21,78.41,63.91,45.03,7.64,4.07,3,82.93,High
6.34,73.36,68.86,96.17,5.44,2.72,3,79.99,High
8.04,59.23,93.93,45.88,7.62,2.47,0,86.57,High
8.16,95.03,71.43,75.73,4.33,5.11,3,84.91,High
9.51,72.78,60.5,56.21,8.31,2.63,2,89.02,High
3.28,85.72,57.2,76.7,8.18,1.45,4,69.72,Medium
6.31,61.72,60.06,61.8,4.44,6.37,2,57.69,Low
1.86,98.27,42.1,84.38,4.12,3.64,3,55.22,Low
6.55,63.03,82.69,49.99,4.28,3.66,1,79.83,High
2.54,63.98,85.26,93.88,8.27,4.02,0,68.01,Medium
6.08,93.65,52.06,67.51,5.17,6.71,0,66.22,Medium
6.15,96.07,53.23,84.15,6.74,3.25,4,75.03,High
5.19,64.55,87.46,90.23,6.13,6.31,3,73.46,Medium
5.7,76.14,36.44,99.92,7.98,7.58,1,77.48,High
7.88,88.01,66.23,49.56,6.44,5.63,3,82.22,High
8.19,94.53,62.82,53.65,6.5,4.02,0,92.51,High
5.43,72.06,76.41,51.28,8.95,6.23,0,73.8,Medium
6.4,78.27,44.8,52.09,4.75,4.21,2,70.87,Medium
9.38,88.38,75.1,72.86,8.15,3.9,3,90.79,High
2.08,87.9,57.6,99.58,4.26,4.68,4,67.36,Medium
2.05,90.23,72.12,99.37,6.39,3.22,3,67.99,Medium
1.79,80.65,37.41,69.24,8.43,1.73,1,61.44,Medium
6.92,59.71,62.7,76.54,7.33,3.9,4,72.17,Medium
4.77,95.68,66.34,90.9,7.43,1.87,2,82.58,High
7.97,93.95,47.86,95.64,5.32,3.87,4,89.11,High
7.04,90.91,43.38,48.25,6.09,4.9,0,73.39,Medium
4.0,59.49,46.31,69.36,5.83,7.51,0,55.38,Low
9.09,64.2,55.65,89.13,6.61,1.25,0,84.13,High
7.86,88.46,40.81,54.71,6.31,5.35,4,75.58,High
3.43,56.04,91.84,63.59,5.63,4.2,0,69.81,Medium
4.28,99.07,59.3,99.07,5.53,1.14,4,84.73,High
3.83,71.97,83.54,99.03,5.25,2.75,3,68.98,Medium
2.42,87.37,93.47,93.9,5.83,1.83,0,76.08,High
2.33,94.94,39.84,86.9,4.75,2.52,4,58.97,Low
9.43,72.76,74.1,52.49,8.36,2.92,0,83.9,High
4.94,69.36,87.28,55.86,7.01,3.81,0,77.01,High
4.45,82.39,73.05,70.57,4.67,4.7,2,61.38,Medium
7.57,81.14,60.74,71.45,7.47,1.01,1,89.84,High
5.98,73.41,60.86,67.86,8.24,2.13,1,74.88,High
9.43,82.08,37.15,76.38,5.19,1.65,0,83.51,High
8.02,97.09,67.08,61.54,4.75,4.85,3,88.73,High
5.31,76.04,94.61,83.7,4.04,3.3,0,80.04,High
4.39,63.85,92.52,56.68,4.24,4.84,1,61.44,Medium
9.88,71.97,37.42,56.49,7.81,2.55,2,88.04,High
7.46,72.73,77.35,43.27,8.94,1.17,2,85.22,High
9.56,60.9,53.11,47.27,4.22,7.59,3,68.09,Medium
2.07,62.33,89.18,90.28,7.74,1.76,1,64.95,Medium
8.65,85.81,37.71,64.01,4.36,1.89,3,88.46,High
6.73,70.28,91.15,49.81,6.96,2.03,3,90.66,High
2.1,97.97,85.25,84.36,7.78,7.87,1,73.79,Medium
6.29,65.96,42.05,71.01,5.8,5.32,1,59.98,Medium
7.17,59.45,38.59,36.38,4.05,5.27,2,63.49,Medium
1.11,88.91,85.08,55.56,6.98,7.91,2,63.8,Medium
5.09,94.65,44.35,46.51,8.96,1.62,0,77.17,High
8.43,67.52,67.09,77.63,5.29,7.82,2,83.06,High
3.66,64.09,89.94,52.88,4.95,2.43,0,65.8,Medium
5.13,63.36,69.05,39.22,4.62,5.36,2,61.3,Medium
4.98,78.49,58.83,38.57,6.78,3.94,4,64.98,Medium
3.72,76.08,61.7,72.81,6.98,3.69,2,56.94,Low
9.27,66.67,38.79,36.41,7.96,7.52,3,76.71,High
8.03,57.03,93.13,90.17,7.77,2.04,1,89.66,High
2.0,76.67,53.64,45.1,8.46,7.98,4,56.75,Low
9.97,98.17,46.36,74.43,8.03,3.65,4,90.5,High
8.91,84.36,52.16,63.9,5.24,5.54,4,87.18,High
3.56,77.3,92.86,63.79,6.78,7.78,3,79.18,High
8.53,59.98,40.66,39.67,5.49,1.4,3,73.18,Medium
1.96,66.36,87.04,87.18,5.65,7.46,2,58.85,Low
9.99,68.26,77.47,93.05,8.66,4.97,4,98.61,High
6.99,89.42,84.8,35.72,7.41,5.93,4,94.04,High
6.85,94.45,93.55,46.61,8.87,2.04,2,86.81,High
1.81,95.57,85.53,93.75,6.08,4.73,0,70.53,Medium
9.07,99.31,91.6,70.72,6.69,5.71,0,94.18,High
1.26,99.21,42.62,44.75,6.44,4.19,1,51.68,Low
3.17,97.88,82.75,48.18,4.54,2.08,0,69.55,Medium
2.29,58.23,67.74,77.9,5.18,2.71,1,62.16,Medium
7.99,61.2,67.61,82.11,6.64,6.98,0,86.44,High
2.78,68.7,88.94,73.96,4.34,1.24,4,68.64,Medium
9.2,79.88,93.31,96.95,8.66,5.96,0,96.65,High
6.91,59.36,77.29,67.11,4.62,8.0,3,83.6,High
1.33,93.06,63.98,54.52,4.99,1.05,1,57.35,Low
